Symbol,hv20,hv50,hv100,date,iv,days_calculated,percentile,close
$AUM,8,10,10,17-01-27,10.48,597,23,75.50
$AUX,8,10,10,17-01-27,12.94,599,1,132.47
$BKX,19,18,20,16-07-05,32.02,250,98,92.85
$BPX,13,11,11,17-01-27,12.11,599,62,79.69
$BRB,11,12,16,17-01-27,22.00,197,2,314.10
$BVZ,74,76,123,17-01-27,69.88,306,96,10.58
$CDD,9,8,8,17-01-27,9.55,600,3,131.53
$DJX,6,6,9,17-01-27,7.94,600,0,200.94
$EUI,9,9,8,17-01-27,9.94,597,27,93.46
$EUU,9,9,8,17-01-27,11.39,600,31,106.99
$GBP,13,11,11,17-01-27,11.36,593,59,125.47
$HGX,18,18,18,17-01-27,16.62,566,0,252.17
$MNX,8,10,12,17-01-26,15.50,583,21,516.81
$NDO,11,10,11,17-01-27,11.14,597,19,72.63
$NDX,8,10,12,17-01-27,9.56,595,0,5168.06
$NZD,11,10,11,17-01-27,14.27,599,3,137.67
$OEX,6,7,9,17-01-27,7.71,580,0,1012.93
$OSX,23,30,30,16-12-23,32.06,372,53,183.89
$POQ,15,11,15,17-01-24,7.94,57,43,86.56
$PZO,20,15,21,17-01-27,23.37,559,84,208.94
$RUT,14,14,16,17-01-27,14.11,600,29,1370.70
$RVX,66,59,87,17-01-27,141.88,584,65,16.58
$SFC,8,7,7,17-01-27,8.80,597,14,99.93
$SKA,9,10,10,17-01-27,11.71,597,25,88.45
$SOX,17,20,20,17-01-06,29.10,475,78,962.26
$SPX,6,7,10,17-01-27,8.52,600,1,2294.69
$UTY,10,15,18,16-12-22,15.09,9/100,615.05
$VIX,74,76,123,17-01-27,81.24,600,20,10.58
$XAU,41,38,44,17-01-19,46.32,521,54,89.58
$XDA,9,10,9,17-01-27,10.80,600,32,75.51
$XDB,13,11,11,17-01-27,13.49,598,88,125.48
$XDC,9,8,8,17-01-27,10.92,600,76,76.03
$XDE,9,9,8,17-01-27,11.87,600,36,106.99
$XDN,16,13,12,17-01-27,14.57,598,76,86.88
$XDS,8,7,7,17-01-27,12.81,589,46,100.01
$XDZ,12,11,11,17-01-27,11.14,598,20,72.64
$XEO,6,7,9,17-01-27,8.29,540,0,1012.93
$XSP,6,7,10,17-01-27,8.78,598,0,229.47
$YUK,16,13,12,17-01-27,13.13,600,76,115.11
A,21,20,23,17-01-27,26.07,600,54,48.65
AA,44,42,45,17-01-27,34.78,598,34,36.67
AAC,44,59,128,17-01-27,79.58,431,62,8.11
AAL,33,30,30,17-01-27,30.42,600,2,46.95
AAN,47,37,38,17-01-27,41.41,599,83,30.54
AAOI,107,73,67,17-01-27,57.18,599,34,31.15
AAON,27,21,27,17-01-27,23.30,500,0,35.00
AAP,15,36,30,17-01-27,31.78,600,81,164.37
AAPL,9,12,18,17-01-27,17.33,600,5,121.95
AAT,17,19,21,17-01-26,16.19,71,5,42.60
AAU,61,103,84,16-09-06,152.50,5,40,1.02
AAV,37,35,38,17-01-27,37.97,598,28,6.50
AAWW,31,27,30,17-01-27,36.11,600,28,54.75
AAXJ,10,13,16,17-01-27,13.38,585,14,58.97
AB,25,25,26,17-01-27,19.38,565,15,23.15
ABAX,53,38,35,17-01-27,27.53,481,4,49.41
ABB,13,15,19,17-01-27,13.60,592,5,23.83
ABBV,22,23,26,17-01-27,19.14,600,12,60.00
ABC,35,27,40,17-01-27,27.40,600,90,82.43
ABCB,31,28,26,17-01-27,27.88,301,88,45.10
ABCO,62,51,43,17-01-27,45.87,576,70,45.05
ABDC,25,29,27,17-01-27,27.66,73,60,12.14
ABEO,62,73,89,17-01-27,94.38,253,53,4.80
ABEV,33,32,33,17-01-10,28.75,159,18,5.45
ABG,28,29,33,17-01-27,38.97,597,78,64.70
ABM,22,28,25,17-01-27,19.67,433,35,41.37
ABMD,40,34,35,17-01-27,32.54,600,9,108.85
ABR,9,27,27,17-01-26,18.33,57,21,7.50
ABT,14,18,20,17-01-27,16.34,600,16,41.00
ABTL,26,35,71,17-01-27,48.67,594,11,13.88
ABUS,75,73,62,17-01-27,77.08,586,32,2.55
ABX,42,44,49,17-01-27,41.78,600,25,17.79
ABY,30,29,30,17-01-27,26.71,564,2,21.57
ACAD,56,59,63,17-01-27,58.77,600,34,31.93
ACAS,15,12,10,16-09-22,14.51,468,3,17.99
ACAT,134,92,70,17-01-24,57.89,597,84,19.23
ACC,23,21,24,17-01-27,19.72,466,74,48.56
ACCO,34,30,43,17-01-27,35.65,559,22,12.90
ACET,20,23,33,17-01-27,47.60,599,87,19.54
ACGL,12,11,15,17-01-27,17.35,560,47,88.97
ACH,42,42,36,17-01-27,28.99,591,7,12.90
ACHC,41,37,41,17-01-27,43.07,600,88,38.39
ACHN,34,50,70,17-01-27,66.31,600,46,4.09
ACIA,65,60,74,17-01-27,64.79,161,49,60.98
ACIW,21,27,31,17-01-27,30.66,577,76,19.44
ACLS,47,37,49,17-01-27,47.44,480,23,15.55
ACM,42,31,40,17-01-27,33.55,600,57,37.87
ACN,14,19,20,17-01-27,16.55,600,27,115.35
ACOR,39,45,55,17-01-27,119.48,571,99,20.20
ACRE,14,22,21,16-11-03,20.78,30,30,13.65
ACRS,35,0.0,0.0,17-01-24,54.60,29,65,26.93
ACRX,57,58,65,17-01-27,105.82,587,80,2.60
ACSF,26,20,19,17-01-25,18.59,33,6,12.60
ACTA,40,34,49,17-01-27,43.40,339,23,14.05
ACTG,55,54,48,17-01-27,72.61,595,82,5.80
ACUR,155,123,103,16-08-08,103.13,112,25,0.58
ACWI,7,8,10,17-01-27,9.88,587,5,61.19
ACWV,4.9,8,10,17-01-27,7.17,583,50,73.82
ACWX,8,10,12,17-01-27,12.58,375,38,42.01
ACXM,20,21,25,17-01-27,32.47,599,12,26.49
ADAP,37,56,63,17-01-27,88.13,110,50,4.33
ADBE,15,18,21,17-01-27,20.30,600,13,113.99
ADC,20,23,27,17-01-26,20.23,180,73,46.29
@ADH,7,9,9,17-01-27,9.20,592,10,75.44
ADHD,288,193,171,17-01-27,171.25,574,94,1.02
ADI,17,26,23,17-01-27,23.49,600,43,76.93
ADK,50,61,67,16-10-26,85.63,424,74,1.66
ADM,18,18,25,17-01-27,21.46,600,41,44.52
@ADM,7,9,9,17-01-27,10.79,593,19,75.28
ADMP,53,66,63,17-01-27,119.27,591,84,3.15
ADMS,52,44,52,16-10-26,94.39,29,31,15.96
ADNT,35,40,0.0,17-01-27,37.25,52,96,64.34
ADP,9,11,14,17-01-27,16.40,600,68,101.71
ADPT,59,57,192,17-01-27,96.65,391,90,7.79
ADRO,45,60,69,17-01-27,91.12,278,57,11.15
ADS,20,26,26,17-01-27,22.64,600,18,222.35
ADSK,24,35,31,17-01-27,31.97,600,47,81.76
ADTN,23,22,29,17-01-27,25.04,600,0,21.80
@ADU,7,9,9,16-09-02,9.08,590,19,76.41
ADUS,25,28,38,17-01-27,42.04,92,26,34.00
ADVM,73,78,77,17-01-27,76.67,471,28,2.85
ADXS,58,54,63,17-01-27,69.70,592,1,9.05
@ADZ,10,10,10,16-12-02,10.75,588,32,74.58
AEE,12,17,20,17-01-27,15.62,596,31,51.82
AEG,26,30,38,17-01-09,37.92,211,82,5.56
AEGN,43,35,36,17-01-27,37.11,442,71,23.50
AEIS,21,27,27,17-01-27,40.58,598,76,59.37
AEL,33,35,41,17-01-27,40.96,589,85,24.30
AEM,41,43,48,17-01-27,42.15,600,24,45.92
AEO,34,47,39,17-01-27,41.10,600,79,14.67
AEP,12,17,19,17-01-27,12.10,600,0,62.97
AER,21,21,23,17-01-27,25.31,600,10,44.34
AERI,38,42,80,17-01-27,61.45,471,2,43.50
AES,30,29,30,17-01-27,21.88,555,16,11.40
AET,15,19,21,17-01-27,23.90,600,38,117.45
AEZS,104,79,75,17-01-27,211.46,94,95,2.55
AF,15,22,25,17-01-25,20.13,258,2,19.05
AFAM,23,24,28,17-01-27,37.63,600,61,47.35
AFCO,18,31,40,16-12-16,30.31,435,3,8.37
AFG,12,11,14,17-01-27,16.44,573,61,87.02
AFH,12,23,27,17-01-27,28.06,267,20,17.05
AFI,28,32,33,17-01-12,37.70,28,32,21.19
AFL,10,13,14,17-01-27,13.96,600,25,70.27
AFMD,121,105,96,17-01-26,144.99,90,40,1.83
AFSI,12,18,20,17-01-27,24.97,600,22,26.63
AFTY,13,18,15,17-01-25,16.88,290,2,13.82
AG,78,77,76,17-01-27,64.15,600,29,9.21
AGCO,18,19,21,17-01-27,26.48,600,36,63.46
AGEN,46,60,69,17-01-27,71.09,571,26,3.80
AGFS,63,71,132,17-01-27,103.13,132,96,2.72
AGG,3.8,4.0,3.7,17-01-27,2.49,429,65,108.08
AGI,84,70,70,17-01-27,51.60,583,24,7.58
AGII,16,14,19,16-05-27,41.82,182/100,57.15
AGIO,55,78,78,17-01-27,62.77,599,24,41.24
AGM,29,32,37,17-01-27,33.20,346,55,56.51
AGN,20,22,31,17-01-27,27.53,600,38,213.20
AGNC,14,19,18,16-12-01,13.04,85,71,18.93
AGO,18,15,21,17-01-27,20.72,600,3,39.86
AGQ,34,40,49,17-01-27,40.47,600,1,36.91
AGR,17,19,22,17-01-26,19.61,496,22,37.95
AGRO,32,30,28,17-01-27,35.12,500,48,11.68
AGTC,42,52,94,17-01-27,91.25,105,80,8.15
AGU,32,29,26,17-01-27,28.72,600,84,104.29
AGX,36,40,37,17-01-27,31.08,288,9,74.50
AGYS,24,31,32,17-01-27,32.81,404,52,10.17
AHC,30,29,42,17-01-27,41.88,303,35,6.40
AHGP,31,41,43,17-01-27,35.70,431,35,29.01
AHH,16,22,25,17-01-18,21.88,52,38,14.05
AHL,14,14,17,17-01-25,17.40,235,25,57.50
AHP,30,30,28,17-01-27,46.56,305,60,13.96
AHT,25,29,37,17-01-27,30.44,251,20,8.22
AI,20,30,27,17-01-27,23.54,180,53,15.17
AIG,13,12,17,17-01-27,18.74,600,41,65.21
AIMC,22,33,31,17-01-27,27.93,505,55,38.35
AIMT,48,40,55,17-01-27,62.78,124,51,17.13
AIN,23,20,25,16-10-27,34.55,235,97,49.05
AINV,23,22,21,16-07-06,96.71,74/100,5.86
AIR,21,29,28,17-01-27,31.71,600,35,32.45
AIRM,35,30,44,17-01-27,32.93,600,8,36.30
AIT,21,19,26,17-01-25,31.37,260,94,62.50
